model,test#,train/test,iter,loss,acc,forwardnfe,backwardnfe,time/iter,time_elapsed
sonode,0,train,1,1.8346381674007493,0.36022,19.816326530612244,19.96938775510204,89.8362045288086,1.4972716132799784
sonode,0,train,2,1.5679874030911192,0.45066,20.0,20.03061224489796,88.25576210021973,2.9682053923606873
sonode,0,test,2,1.4557847,0.477,20.0,0,5.663745880126953,3.0626060088475544
sonode,0,train,3,1.3673251405054208,0.51612,20.0,20.03061224489796,88.44648003578186,4.5367171684900915
sonode,0,train,4,1.2476868142887036,0.56168,20.0,20.09183673469387,88.55830192565918,6.012691740194956
sonode,0,test,4,1.2452871,0.5585,20.0,0,5.746231555938721,6.108466112613678
sonode,0,train,5,1.1709889003208704,0.5907,20.0,20.489795918367342,89.831871509552,7.605667682488759
sonode,0,train,6,1.0965347290039062,0.61566,20.0,21.01020408163265,91.50658202171326,9.13078043460846
sonode,0,test,6,1.3048712,0.5434,20.0,0,5.663591623306274,9.225177391370137
sonode,0,train,7,1.0263398618114237,0.64276,20.0,21.07142857142857,92.3505027294159,10.764355675379436
sonode,0,train,8,0.9614368360869737,0.66574,20.0,21.377551020408163,92.25080919265747,12.301872098445893
sonode,0,test,8,1.1274703,0.5984,20.0,0,5.772873401641846,12.39809028704961
sonode,0,train,9,0.897269346276108,0.68502,20.0,23.336734693877546,97.76139211654663,14.027450648943583
sonode,0,train,10,0.8443166771713567,0.70638,20.0,25.663265306122447,104.5439202785492,15.769854072729746
sonode,0,test,10,1.0918756,0.6171,20.0,0,5.662494421005249,15.864235091209412
sonode,0,train,11,0.7858524711764588,0.7241,20.0,28.265306122448976,111.40868163108826,17.721049694220223
sonode,0,train,12,0.7269611747897401,0.74598,21.561224489795915,30.561224489795915,119.54576325416565,19.713481783866882
sonode,0,test,12,1.1291813,0.61469996,25.85,0,6.994112253189087,19.83005411227544
sonode,0,train,13,0.6811312461385921,0.76188,25.969387755102037,33.19387755102041,132.31574940681458,22.03532187541326
sonode,0,train,14,0.6400271435173189,0.7774,25.999999999999996,33.62244897959184,133.43168878555298,24.259188453356426
sonode,0,test,14,1.1908429,0.6198,26.0,0,6.99183201789856,24.37572253147761
sonode,0,train,15,0.5942823448959661,0.79494,25.999999999999996,33.5,132.20390558242798,26.57912407318751
sonode,0,train,16,0.5427010983836894,0.81306,25.999999999999996,33.37755102040816,131.9415409564972,28.778152747948965
sonode,0,test,16,1.2562662,0.6195,26.0,0,6.98165225982666,28.894517374038696
sonode,0,train,17,0.4977661054961535,0.82698,25.999999999999996,33.92857142857143,133.65179753303528,31.12205049196879
sonode,0,train,18,0.4598805174535634,0.83978,25.999999999999996,33.346938775510196,132.7752730846405,33.33497591416041
sonode,0,test,18,1.3932428,0.6105,26.0,0,6.980541229248047,33.45132396221161
sonode,0,train,19,0.41545646044672746,0.85846,25.999999999999996,33.07142857142857,132.0883514881134,35.652801005045575
sonode,0,train,20,0.3763316018240792,0.87036,25.999999999999996,34.0204081632653,134.6648473739624,37.897220476468405
sonode,0,test,20,1.6051921,0.60499996,26.0,0,6.9886558055877686,38.0137016693751
sonode,0,train,21,0.33906671952228157,0.8836,25.999999999999996,33.07142857142857,131.86122059822083,40.21139174302419
sonode,0,train,22,0.29128341285549864,0.90294,25.999999999999996,32.42857142857143,129.71509075164795,42.373312902450564
sonode,0,test,22,1.8602666,0.60569996,26.0,0,7.006344318389893,42.49008906682332
