model,test#,train/test,iter,loss,acc,forwardnfe,backwardnfe,time/iter,time_elapsed
node,0,train,1,0.384891622,0.885066667,21.90618337,29.40298507,182.8550563,3.047585448
node,0,test,1,0.284231421,0.9181,26,0,8.570112228,3.190487822
node,0,train,2,0.273087479,0.91975,25.99360341,31.29637527,198.5839856,6.500232569
node,0,test,2,0.240062476,0.928,26,0,8.464301109,6.641345747
node,0,train,3,0.247461148,0.92755,26,30.48400853,195.2865686,9.896127085
node,0,test,3,0.249761987,0.9258,26,0,8.561487913,10.03885229
node,0,train,4,0.225724837,0.932933333,26.44776119,31.67377399,201.5952415,13.39877812
node,0,test,4,0.208758472,0.9407,31.77070064,0,10.21738672,13.5691071
node,0,train,5,0.203969643,0.939833333,31.11727079,35.24946695,225.4051445,17.32586412
node,0,test,5,0.191981689,0.9464,38,0,11.76541781,17.52198912
node,0,train,6,0.185516476,0.946033333,37.12366738,34.43710021,230.8204262,21.36900123
node,0,test,6,0.199032043,0.9444,38,0,11.75490737,21.56494615
node,0,train,7,0.169024572,0.9504,38.09594883,38.15351812,249.3362615,25.72056001
node,0,test,7,0.167848914,0.9546,38,0,11.95169806,25.91978606
node,0,train,8,0.156868525,0.9543,38.81876333,40.62899787,261.4759228,30.27772689
node,0,test,8,0.172378027,0.9501,38,0,11.87218356,30.47563806
node,0,train,9,0.144407149,0.958066667,41.69083156,40.95522388,269.0644212,34.96004961
node,0,test,9,0.1546427,0.9586,44,0,13.72783256,35.18888143
node,0,train,10,0.136210975,0.960183333,42.59275053,41.52452026,273.7939541,39.75212305
node,0,test,10,0.154450232,0.9573,42.50955414,0,13.13481927,39.9710699
node,0,train,11,0.128596979,0.962066667,44.01918977,44.40298507,286.3141263,44.74297761
node,0,test,11,0.148763037,0.9596,44,0,13.67801046,44.97097707
node,0,train,12,0.124723633,0.963133333,44.18550107,47.44136461,304.1586788,50.04029769
node,0,test,12,0.133855554,0.9628,44,0,13.48690104,50.26511447
node,0,train,13,0.115420407,0.965816667,44.37739872,47.92750533,304.4808257,55.33980238
node,0,test,13,0.139434705,0.9608,44,0,13.53426814,55.5654058
node,0,train,14,0.113028286,0.966266667,44.26226013,49.75053305,313.5700746,60.79157795
node,0,test,14,0.135666357,0.9599,44,0,13.47536612,61.01620802
node,0,train,15,0.105824558,0.96775,44.13432836,49.87206823,314.8818116,66.26424376
node,0,test,15,0.128867847,0.9637,44,0,13.59555149,66.49087054
