model,test#,train/test,iter,loss,acc,forwardnfe,backwardnfe,time/iter,time_elapsed
node,0,train,1,0.3904439092143131,0.88415,35.492537313432834,46.379530916844345,268.1522595882416,4.469206166267395
node,0,test,1,0.301903857421875,0.9103,50.0,0,14.749833822250366,4.715144296487172
node,0,train,2,0.2801324154899668,0.91755,50.588486140724946,50.159914712153515,308.21429920196533,9.852093656857809
node,0,test,2,0.2591985595703125,0.9219,56.0,0,16.660388469696045,10.129882967472076
node,0,train,3,0.2527918136561476,0.9255666666666666,56.35181236673774,54.77185501066098,334.5160744190216,15.705192279815673
node,0,test,3,0.2272027099609375,0.9343,61.617834394904456,0,17.263018369674683,15.993021178245545
node,0,train,4,0.23706483253156707,0.9304333333333333,53.933901918976545,59.620469083155655,350.4257929325104,21.83350060383479
node,0,test,4,0.21741767578125,0.9343,56.0,0,15.860020160675049,22.097954646746317
node,0,train,5,0.2202666391775425,0.9352166666666667,54.16417910447761,65.94669509594883,375.9679181575775,28.364134232203167
node,0,test,5,0.20675517578125,0.9388,50.0,0,15.290651559829712,28.619073351224262
node,0,train,6,0.20085649758076934,0.94145,51.08102345415778,77.63326226012794,420.87074065208435,35.63363416194916
node,0,test,6,0.1894998291015625,0.9464,50.57324840764331,0,14.6981680393219,35.878701480229694
node,0,train,7,0.18129373881330432,0.9480666666666666,54.68230277185501,87.05543710021323,465.10354375839233,43.63047935962677
node,0,test,7,0.179733154296875,0.9527,56.0,0,16.524946212768555,43.906009217103325
node,0,train,8,0.16371028117243763,0.9529,56.505330490405115,93.07462686567165,492.4506950378418,52.113570968310036
node,0,test,8,0.1612334716796875,0.9543,56.0,0,16.1239812374115,52.38240050474803
node,0,train,9,0.1487462281036987,0.9562166666666667,60.675906183368866,99.97014925373135,526.7584891319275,61.16176158984502
node,0,test,9,0.1475911865234375,0.9578,62.0,0,17.65262246131897,61.456082280476885
node,0,train,10,0.1361950291191607,0.9599,62.43496801705757,110.5948827292111,573.0892231464386,71.00761778752009
node,0,test,10,0.15045955810546874,0.9565,62.152866242038215,0,18.907893180847168,71.32288091580072
node,0,train,11,0.12656109266952156,0.9622333333333334,65.94029850746269,122.6908315565032,628.7462158203125,81.80203298330306
node,0,test,11,0.13982926025390624,0.9593,68.0,0,18.975786685943604,82.11842717329661
node,0,train,12,0.11769975770040472,0.96455,67.98720682302772,133.50746268656715,676.1130082607269,93.3870309193929
node,0,test,12,0.15706939697265626,0.9541,68.0,0,18.99201512336731,93.70367865562439
node,0,train,13,0.10858956656293638,0.96745,68.95309168443497,139.48187633262262,702.5529601573944,105.41294104655584
node,0,test,13,0.12784818115234375,0.9637,68.19108280254777,0,18.79030156135559,105.72624132633209
node,0,train,14,0.10326378649648732,0.9684333333333334,71.77398720682302,145.46268656716418,732.098251581192,117.92792561848958
node,0,test,14,0.12840965576171876,0.9661,73.96178343949045,0,21.15689182281494,118.28065739472707
node,0,train,15,0.09836771671991866,0.9704333333333334,73.81449893390192,153.1449893390192,769.0891222953796,131.09885850350062
node,0,test,15,0.117837109375,0.9666,74.0,0,20.93231463432312,131.447864874204
node,0,train,16,0.09267399048478381,0.97145,74.0,162.05543710021323,805.6055986881256,144.87467445929846
node,0,test,16,0.13602471923828124,0.9617,74.0,0,20.71343421936035,145.22002374331157
node,0,train,17,0.08830844758968077,0.9732666666666666,74.0,164.7228144989339,813.9330208301544,158.78562772274017
node,0,test,17,0.1218447509765625,0.9647,74.07643312101911,0,25.447041034698486,159.2147252202034
node,0,train,18,0.08538001805031573,0.9742166666666666,75.2409381663113,173.21108742004265,1361.0413897037506,181.9001429239909
node,0,test,18,0.10915001220703124,0.9681,74.34394904458598,0,39.203301668167114,182.55369610786437
node,0,train,19,0.08051328446025025,0.9751833333333333,77.33901918976545,173.78038379530918,1440.1820042133331,206.55679412285488
node,0,test,19,0.11796280517578125,0.9663,80.0,0,48.33807134628296,207.36259150107702
node,0,train,20,0.077160051539302,0.9754,79.41791044776119,175.78251599147123,1544.8266460895538,233.11011567910512
node,0,test,20,0.109773095703125,0.9673,80.0,0,50.76234841346741,233.95639851093293
node,0,train,21,0.07422572361088908,0.97715,79.86567164179104,182.16631130063968,1532.6102077960968,259.49995100895563
node,0,test,21,0.10382535400390625,0.971,80.0,0,46.52846074104309,260.2757583419482
node,0,train,22,0.07185006887279152,0.9773666666666667,79.94243070362474,185.07675906183368,1063.633288383484,278.00346405903497
node,0,test,22,0.113974658203125,0.9699,80.0,0,22.946425437927246,278.3860488335292
node,0,train,23,0.06963198398004597,0.9781333333333333,79.91684434968018,188.38379530916842,980.0957021713257,294.7210326353709
node,0,test,23,0.120579931640625,0.9658,80.0,0,26.281270027160645,295.1592051386833
node,0,train,24,0.06647141940885785,0.97895,80.0,193.1236673773987,1014.3857436180115,312.0656769434611
node,0,test,24,0.10259595947265625,0.9716,80.0,0,25.800114631652832,312.4957991083463
node,0,train,25,0.0643191613478592,0.97955,79.97441364605544,196.21961620469085,1013.8246433734894,329.3929324467977
node,0,test,25,0.12318101806640624,0.9649,80.0,0,24.43053674697876,329.8002397298813
node,0,train,26,0.06256351906181708,0.9808,80.0,194.50533049040513,1002.7003417015076,346.51194892724357
node,0,test,26,0.1104787109375,0.9707,80.0,0,22.64389991760254,346.88946791489917
node,0,train,27,0.06241609105780256,0.98015,80.15991471215352,198.50959488272917,1023.5038106441498,363.9479156891505
node,0,test,27,0.0989088623046875,0.9729,80.0,0,23.01470971107483,364.33162388006843
node,0,train,28,0.05906511177787922,0.9812666666666666,80.2046908315565,197.93390191897657,1020.1990327835083,381.3349929730097
node,0,test,28,0.11564410400390625,0.9682,80.0,0,23.61344885826111,381.728664680322
node,0,train,29,0.058579973007146735,0.9814,80.26226012793177,205.7441364605544,1055.3691999912262,399.318196952343
node,0,test,29,0.1134916748046875,0.9687,80.0,0,24.998291730880737,399.7349620660146
node,0,train,30,0.05550330275394666,0.98245,80.58848614072494,207.92537313432834,1059.8516330718994,417.39921215375267
node,0,test,30,0.11056884765625,0.9707,80.15286624203821,0,25.778587102890015,417.82899645964307
node,0,train,31,0.056128579406201765,0.98215,81.90618336886993,210.44562899786783,1074.4407494068146,435.73638476133345
node,0,test,31,0.1042983154296875,0.9722,80.0,0,24.56651282310486,436.14595911105476
node,0,train,32,0.0531021931828228,0.9828666666666667,81.79744136460555,212.17270788912577,1081.3301758766174,454.16817401250205
node,0,test,32,0.11817191162109375,0.9707,85.77070063694268,0,28.1049542427063,454.6367086410522
node,0,train,33,0.05408876434639732,0.9828666666666667,83.33901918976545,212.5501066098081,1085.9640672206879,472.73615014155706
