cell_gradient_2norm,epoch,forward_nfe,forward_time,mean_batch_nfe,mean_batch_time,model_gradient_2norm,test_forecast_loss,test_loss,test_nfe,test_time,train_forecast_loss,train_loss,validation_foreast_loss,validation_loss,validation_nfe,validation_time
10.79819,0,1334.5,0.683644593,4111.5,4.313755423,11.171882,0.6478665,2.125533,1444,1.844447374,0.9724193,2.0814114,0.6388401,2.0825553,1432,1.813415766
84.75331,1,1440.25,0.752104253,4510.5,4.756179363,85.63106,0.65013146,2.839351,1450,1.849633932,0.6683717,2.806104,0.7493751,2.787591,1450,1.872342587
62.89919,2,1437.25,0.726056665,4475.25,4.665653139,63.570816,0.42925286,2.3167782,1444,1.919107914,0.5330272,2.8138182,0.4530602,2.2715456,1438,1.835188389
21.993683,3,1432,0.737411499,4359,4.62123099,22.288494,0.31463435,2.6078482,1450,1.899156809,0.40276212,2.581231,0.3740657,2.5359874,1450,1.866477489
19.0737,4,1441,0.736716539,4389.75,4.667883039,19.73991,0.31636935,2.339437,1444,1.837767839,0.31761885,2.7265582,0.31640986,2.2942412,1438,1.8512218
18.234642,5,1441.75,0.726368815,4385.25,4.55227527,18.975641,0.25202352,2.4225583,1450,1.949092388,0.2915481,2.56176,0.25789136,2.3728418,1444,1.819033623
8.911321,6,1441,0.727148175,4375.5,4.57922852,10.0213375,0.24860016,2.3421023,1450,1.86112833,0.24662232,2.5444853,0.23774065,2.2903452,1444,1.77726078
9.157259,7,1439.5,0.722092837,4377.75,4.579606891,10.410864,0.25682318,2.3089924,1450,1.903164625,0.2223332,2.537288,0.2490651,2.2632532,1444,1.892232895
9.175347,8,1438.75,0.758167803,4364.25,4.70325318,10.230081,0.24101108,2.3341904,1450,1.889396191,0.218747,2.5113213,0.22930026,2.2752223,1444,1.849433184
8.462647,9,1436.5,0.733413577,4369.5,4.628149897,9.662094,0.2210666,2.301436,1450,1.828440666,0.21239573,2.5106926,0.22261335,2.2414336,1444,1.824514627
14.979242,10,1432.75,0.731615514,4373.25,4.630349398,16.345587,0.20123409,2.2853918,1450,1.795163393,0.20729166,2.4963489,0.19815698,2.2282338,1450,1.827831984
11.2040615,11,1432.75,0.72681585,4383.75,4.642938137,12.158701,0.20039028,2.3219337,1450,1.855971336,0.18198752,2.4763298,0.19906646,2.2525315,1444,1.790632963
14.717325,12,1431.25,0.719752192,4379.25,4.580206573,15.6203785,0.21389109,2.3805256,1450,1.931331158,0.18486601,2.487717,0.2165713,2.3077838,1444,1.950909138
10.747864,13,1430.5,0.729468763,4381.5,4.66385746,11.849774,0.1934709,2.2873187,1450,1.943796635,0.18581675,2.4518228,0.19145799,2.2320156,1444,1.846339464
16.192142,14,1432.75,0.776054919,4396.5,4.846353859,16.914696,0.20732787,2.2170181,1450,1.884709597,0.19217677,2.4425476,0.21362655,2.1571007,1444,1.832250595
14.854816,15,1432,0.804799974,4374.75,5.166889101,16.060442,0.1878958,2.2673042,1450,1.871122837,0.18893033,2.4022236,0.19702938,2.2000086,1444,1.962039709
6.0998006,16,1432,0.761747211,4401.75,4.841448337,8.444111,0.19280252,2.2674892,1450,1.848596096,0.17704855,2.4025726,0.18865325,2.2129889,1444,1.954666615
12.447121,17,1430.5,0.724014103,4413.75,4.694483817,13.924873,0.20472673,2.203529,1450,1.846387148,0.18725477,2.4041724,0.20211434,2.1547494,1444,1.884138823
7.525488,18,1433.5,0.854584634,4431,5.381221294,9.679569,0.23551217,2.2303236,1450,1.885100365,0.20550705,2.3813207,0.25784016,2.165071,1444,1.815922976
8.386218,19,1436.5,0.736615092,4440,4.776472986,9.543792,0.1762889,2.2488256,1450,1.908944607,0.1881861,2.387422,0.18530199,2.189704,1444,1.934379101
6.303406,20,1435,0.743172258,4425,4.785734594,8.154111,0.20429286,2.2197096,1450,1.921780109,0.17822364,2.3536263,0.19890188,2.1741164,1444,1.909968615
11.536478,21,1453,0.761822909,4461,4.866711766,13.562173,0.19092661,2.1939733,1450,1.951185226,0.18154785,2.387859,0.19778141,2.140262,1444,1.833140612
11.206644,22,1451.5,0.778160989,4443.75,4.964012861,12.700287,0.18435909,2.2026424,1450,1.840702057,0.16898012,2.3507266,0.18848711,2.148368,1450,1.94276309
12.276804,23,1453.75,0.797730744,4479.75,5.110397965,13.840685,0.1980645,2.1697042,1450,1.801411152,0.1628038,2.3575938,0.19600609,2.1234636,1444,1.832691431
18.009407,24,1454.5,0.745171756,4457.25,4.818568677,19.534445,0.17935777,2.2129917,1468,1.955480099,0.1742466,2.341435,0.18832904,2.1544976,1468,1.976721048
6.4743056,25,1468,0.740961283,4515,4.870036155,9.696584,0.18648985,2.2142668,1456,1.871158361,0.1650421,2.3402412,0.1894348,2.1631188,1468,2.011416912
5.0654,26,1465.75,0.7596111,4496.25,4.968712509,8.953452,0.18191445,2.1720757,1468,2.009484291,0.1672828,2.3345447,0.18485332,2.124619,1468,1.919579268
8.398763,27,1481.5,0.79384011,4593.75,5.182241291,11.35077,0.17892283,2.1726837,1492,1.933609962,0.1629793,2.3194788,0.18469897,2.1208634,1480,1.970686436
