cell_gradient_2norm,epoch,forward_nfe,forward_time,mean_batch_nfe,mean_batch_time,model_gradient_2norm,test_forecast_loss,test_loss,test_nfe,test_time,train_forecast_loss,train_loss,validation_foreast_loss,validation_loss,validation_nfe,validation_time
392.22372,0.0,2141.5,1.1420208513736725,3859.25,3.4119502007961273,602.1133,1.1787319,1.9828959,2368.0,2.4971377849578857,2.2431383,2.612093,1.1162415,1.9703474,2422.0,2.5646262168884277
21.145206,1.0,2350.0,1.3534637093544006,4182.5,4.000592261552811,53.90428,0.55620635,2.1783805,2464.0,2.7810757160186768,0.7558636,2.2138166,0.5950501,2.1483402,2536.0,2.798961639404297
11.034914,2.0,2406.25,1.2720973193645477,4247.75,3.7137476205825806,27.896141,0.4703664,2.244193,2512.0,2.564012050628662,0.53036,2.2739692,0.52482855,2.214125,2578.0,2.648602247238159
25.137978,3.0,2437.0,1.460050642490387,4284.5,4.251625239849091,50.16044,0.37116194,2.2858782,2548.0,2.5937447547912598,0.40570265,2.3219407,0.42859945,2.2421784,2608.0,2.7265188694000244
22.435429,4.0,2444.5,1.5140340328216553,4295.75,4.398999005556107,58.71212,0.35994542,2.1742005,2548.0,2.7370336055755615,0.396344,2.315448,0.36152148,2.12903,2578.0,2.899514675140381
20.900839,5.0,2437.0,1.3044115006923676,4286.0,3.8376883268356323,46.535835,0.29439843,2.1337986,2506.0,2.9490785598754883,0.3372591,2.2620873,0.2852156,2.0944266,2548.0,2.665058135986328
8.965162,6.0,2438.5,1.335829734802246,4280.0,3.8160170912742615,26.279724,0.30572027,2.1150873,2482.0,2.5772199630737305,0.26887298,2.2726548,0.30350512,2.071691,2482.0,2.6086719036102295
29.518967,7.0,2431.75,1.2783553898334503,4282.25,3.725669503211975,47.260826,0.2781357,2.1032994,2464.0,2.5348873138427734,0.27541178,2.2899714,0.26685354,2.066557,2506.0,2.5170211791992188
22.035572,8.0,2422.0,1.2512440979480743,4261.25,3.637886703014374,40.452087,0.21771139,2.1463904,2518.0,2.556013822555542,0.2504128,2.2521498,0.22470447,2.0957668,2542.0,2.6353933811187744
14.222717,9.0,2418.25,1.2725061476230621,4263.5,3.738158792257309,41.2723,0.24916169,2.1445189,2512.0,2.6589479446411133,0.24533135,2.259571,0.23598379,2.099824,2536.0,2.611100435256958
13.486898,10.0,2431.0,1.359409123659134,4274.0,3.9984707832336426,30.3841,0.23073278,2.1098633,2470.0,2.6345512866973877,0.21831463,2.2622952,0.21136966,2.0620303,2518.0,3.0249736309051514
15.38652,11.0,2428.75,1.24934783577919,4268.0,3.6555891931056976,31.629234,0.22147566,2.1489077,2518.0,2.578939437866211,0.2075767,2.2283044,0.22824275,2.0964277,2548.0,2.564735174179077
12.695668,12.0,2437.75,1.287181794643402,4280.75,3.7485841512680054,29.278553,0.20263693,2.0962138,2500.0,2.626329183578491,0.19006318,2.2560155,0.20027229,2.0438256,2530.0,2.6201889514923096
35.53488,13.0,2441.5,1.2841105461120605,4286.0,3.7449136078357697,51.515312,0.28111002,2.118544,2500.0,2.5181500911712646,0.24900407,2.2346761,0.27540648,2.0733328,2542.0,2.614915132522583
18.078644,14.0,2446.0,1.2889849841594696,4293.5,3.8256915509700775,44.48626,0.34789908,2.0328383,2512.0,2.5669820308685303,0.3135984,2.2078702,0.35204357,1.9852993,2560.0,2.71724271774292
25.298367,15.0,2443.75,1.2666841745376587,4291.25,3.7320348620414734,45.617447,0.29754972,2.079916,2530.0,2.4603419303894043,0.35179913,2.1973526,0.296825,2.0354,2572.0,2.6587300300598145
45.641937,16.0,2475.25,1.3239204585552216,4337.0,3.8423410952091217,79.51199,0.27261022,2.0290475,2494.0,2.6860532760620117,0.32329977,2.2176695,0.26945987,1.9866092,2530.0,2.619081974029541
33.11376,17.0,2436.25,1.2869883477687836,4280.75,3.783721446990967,56.81209,0.24750695,2.0908818,2524.0,2.4871349334716797,0.29665256,2.2013423,0.23966813,2.0591536,2566.0,2.5911614894866943
