cell_gradient_2norm,epoch,forward_nfe,forward_time,mean_batch_nfe,mean_batch_time,model_gradient_2norm,test_forecast_loss,test_loss,test_nfe,test_time,train_forecast_loss,train_loss,validation_foreast_loss,validation_loss,validation_nfe,validation_time
0.6242637,0,1257.25,1.165787458,2624,3.425339967,37.140182,1.3472848,2.6194582,1306,1.835288525,1.0134869,2.2174063,1.4892573,2.5611439,1306,1.771986961
2.7756593,1,1306,1.222960949,2726,3.551043987,76.80754,0.49612516,2.179071,1306,1.912722588,0.8274874,2.4377527,0.5589348,2.1453161,1306,1.723800421
1.0045402,2,1306,1.238425344,2726.75,3.712578028,16.12141,0.3708043,2.2916741,1306,1.832928896,0.49301106,2.324095,0.4443214,2.261024,1306,1.810716391
1.152267,3,1306,1.213141978,2726,3.583487451,19.428835,0.35237035,2.189961,1306,1.943642139,0.3786404,2.399025,0.40229857,2.1516645,1306,1.914417982
1.6034517,4,1306,1.218467146,2726,3.623108476,14.202349,0.30207455,2.2470644,1306,1.962136269,0.3241974,2.3319604,0.31396204,2.2121084,1306,1.851598978
1.0197108,5,1306,1.236706525,2728.25,3.651132047,12.898964,0.25959584,2.2142437,1306,1.85553813,0.27204078,2.325622,0.26797348,2.1705823,1306,1.846008301
1.1372323,6,1306,1.246444792,2728.25,3.705609322,11.654339,0.24371049,2.2254872,1306,1.808403492,0.2434152,2.3144822,0.24960609,2.1923854,1306,1.76190114
0.9508706,7,1306,1.248431653,2730.5,3.692361265,12.813114,0.22548445,2.2129707,1306,1.859996796,0.22712694,2.2862763,0.23351976,2.1583502,1306,1.814771414
0.8716805,8,1306,1.234378189,2734.25,3.763583362,20.72795,0.21621649,2.1590734,1306,1.94294548,0.20781845,2.307539,0.21602005,2.1128926,1306,1.793936253
0.69528973,9,1306,1.264282465,2727.5,3.750834256,18.033714,0.20219354,2.165214,1306,1.962927341,0.20357886,2.2918491,0.20691085,2.112245,1306,1.847655058
0.78304505,10,1306,1.23174426,2729,3.699438244,14.410682,0.19000557,2.2124844,1306,1.864443064,0.19900551,2.270457,0.19059116,2.1608987,1306,1.964317083
0.68557215,11,1306,1.260896116,2730.5,3.836457908,13.33165,0.19721943,2.1722178,1306,1.793947935,0.18906075,2.2835586,0.19073465,2.123026,1306,1.696668863
0.5893275,12,1306,1.245917857,2728.25,3.802811354,10.480945,0.1917623,2.1619024,1306,1.928508759,0.19132578,2.2749946,0.19074687,2.105256,1306,1.869443417
0.7257705,13,1306,1.251168728,2729.75,3.890468031,12.444506,0.19588222,2.1444225,1306,1.96290946,0.18617214,2.2642643,0.19442958,2.095672,1306,1.783747435
0.681768,14,1306,1.240744263,2729.75,3.865319848,13.441518,0.18031141,2.1453085,1306,1.866493464,0.17826551,2.2675824,0.19349638,2.0895352,1306,1.835192442
0.75334394,15,1306,1.246462882,2728.25,3.820890635,14.784389,0.17571706,2.1921191,1306,1.838504553,0.1773712,2.2505655,0.17490923,2.1398673,1306,1.791700363
